Año,zona_geografica,Tipo de delito,Total_Anual
2015,AMG,Robo,16515
2015,AMG,Lesiones,7245
2015,AMG,Violencia familiar,7020
2015,AMG,Otros delitos del Fuero Común,6430
2015,AMG,Amenazas,6012
2015,AMG,Daño a la propiedad,4850
2015,AMG,Fraude,4558
2015,AMG,Narcomenudeo,4393
2015,AMG,Abuso sexual,1018
2015,AMG,Delitos cometidos por servidores públicos,992
2015,AMG,Homicidio,943
2015,AMG,Despojo,791
2015,AMG,Otros delitos contra la familia,729
2015,AMG,Falsificación,708
2015,AMG,Extorsión,475
2015,AMG,Abuso de confianza,384
2015,AMG,Allanamiento de morada,303
2015,AMG,Violación simple,251
2015,AMG,Otros delitos que atentan contra la libertad personal,248
2015,AMG,Falsedad,122
2015,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,109
2015,AMG,Corrupción de menores,98
2015,AMG,Acoso sexual,90
2015,AMG,Feminicidio,38
2015,AMG,Hostigamiento sexual,19
2015,AMG,Electorales,18
2015,AMG,Aborto,15
2015,AMG,Secuestro,11
2015,AMG,Contra el medio ambiente,9
2015,AMG,Violación equiparada,5
2015,AMG,Evasión de presos,4
2015,AMG,Tráfico de menores,3
2015,AMG,Incesto,0
2015,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2015,AMG,Otros delitos contra el patrimonio,0
2015,AMG,Otros delitos contra la sociedad,0
2015,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2015,AMG,Rapto,0
2015,AMG,Trata de personas,0
2015,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2015,Interior,Robo,10932
2015,Interior,Lesiones,3837
2015,Interior,Daño a la propiedad,2541
2015,Interior,Amenazas,1548
2015,Interior,Otros delitos del Fuero Común,1533
2015,Interior,Fraude,1523
2015,Interior,Violencia familiar,1362
2015,Interior,Homicidio,787
2015,Interior,Despojo,654
2015,Interior,Narcomenudeo,644
2015,Interior,Falsificación,579
2015,Interior,Otros delitos contra la familia,574
2015,Interior,Abuso sexual,518
2015,Interior,Abuso de confianza,388
2015,Interior,Extorsión,320
2015,Interior,Delitos cometidos por servidores públicos,299
2015,Interior,Allanamiento de morada,248
2015,Interior,Otros delitos que atentan contra la libertad personal,157
2015,Interior,Violación simple,106
2015,Interior,Falsedad,76
2015,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,47
2015,Interior,Acoso sexual,36
2015,Interior,Corrupción de menores,29
2015,Interior,Feminicidio,24
2015,Interior,Electorales,23
2015,Interior,Secuestro,9
2015,Interior,Contra el medio ambiente,8
2015,Interior,Aborto,6
2015,Interior,Hostigamiento sexual,4
2015,Interior,Evasión de presos,3
2015,Interior,Incesto,1
2015,Interior,Violación equiparada,1
2015,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2015,Interior,Otros delitos contra el patrimonio,0
2015,Interior,Otros delitos contra la sociedad,0
2015,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2015,Interior,Rapto,0
2015,Interior,Trata de personas,0
2015,Interior,Tráfico de menores,0
2015,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2016,AMG,Robo,44101
2016,AMG,Lesiones,8590
2016,AMG,Violencia familiar,8572
2016,AMG,Otros delitos del Fuero Común,8366
2016,AMG,Amenazas,6809
2016,AMG,Daño a la propiedad,5174
2016,AMG,Fraude,4791
2016,AMG,Abuso sexual,1615
2016,AMG,Narcomenudeo,1564
2016,AMG,Otros delitos contra la familia,1350
2016,AMG,Homicidio,1074
2016,AMG,Despojo,999
2016,AMG,Delitos cometidos por servidores públicos,828
2016,AMG,Abuso de confianza,808
2016,AMG,Falsificación,658
2016,AMG,Extorsión,407
2016,AMG,Otros delitos que atentan contra la libertad personal,322
2016,AMG,Violación simple,303
2016,AMG,Allanamiento de morada,295
2016,AMG,Falsedad,164
2016,AMG,Corrupción de menores,154
2016,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,153
2016,AMG,Acoso sexual,149
2016,AMG,Hostigamiento sexual,98
2016,AMG,Contra el medio ambiente,67
2016,AMG,Incesto,25
2016,AMG,Feminicidio,21
2016,AMG,Aborto,19
2016,AMG,Evasión de presos,8
2016,AMG,Secuestro,7
2016,AMG,Tráfico de menores,3
2016,AMG,Violación equiparada,3
2016,AMG,Electorales,0
2016,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2016,AMG,Otros delitos contra el patrimonio,0
2016,AMG,Otros delitos contra la sociedad,0
2016,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2016,AMG,Rapto,0
2016,AMG,Trata de personas,0
2016,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2016,Interior,Robo,11764
2016,Interior,Lesiones,3935
2016,Interior,Daño a la propiedad,3030
2016,Interior,Violencia familiar,1973
2016,Interior,Otros delitos del Fuero Común,1700
2016,Interior,Amenazas,1435
2016,Interior,Fraude,1391
2016,Interior,Homicidio,924
2016,Interior,Despojo,715
2016,Interior,Falsificación,689
2016,Interior,Narcomenudeo,596
2016,Interior,Abuso sexual,581
2016,Interior,Otros delitos contra la familia,529
2016,Interior,Abuso de confianza,349
2016,Interior,Allanamiento de morada,256
2016,Interior,Delitos cometidos por servidores públicos,245
2016,Interior,Extorsión,233
2016,Interior,Otros delitos que atentan contra la libertad personal,153
2016,Interior,Violación simple,128
2016,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,60
2016,Interior,Falsedad,54
2016,Interior,Contra el medio ambiente,44
2016,Interior,Corrupción de menores,39
2016,Interior,Acoso sexual,38
2016,Interior,Feminicidio,27
2016,Interior,Secuestro,9
2016,Interior,Aborto,8
2016,Interior,Hostigamiento sexual,8
2016,Interior,Incesto,6
2016,Interior,Trata de personas,2
2016,Interior,Evasión de presos,1
2016,Interior,Tráfico de menores,1
2016,Interior,Violación equiparada,1
2016,Interior,Electorales,0
2016,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2016,Interior,Otros delitos contra el patrimonio,0
2016,Interior,Otros delitos contra la sociedad,0
2016,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2016,Interior,Rapto,0
2016,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2017,AMG,Robo,73241
2017,AMG,Lesiones,9387
2017,AMG,Otros delitos del Fuero Común,7829
2017,AMG,Amenazas,7637
2017,AMG,Violencia familiar,7356
2017,AMG,Daño a la propiedad,5865
2017,AMG,Fraude,5223
2017,AMG,Abuso sexual,1567
2017,AMG,Abuso de confianza,1511
2017,AMG,Homicidio,1287
2017,AMG,Narcomenudeo,1257
2017,AMG,Despojo,1193
2017,AMG,Otros delitos contra la familia,898
2017,AMG,Delitos cometidos por servidores públicos,877
2017,AMG,Falsificación,478
2017,AMG,Violación simple,362
2017,AMG,Otros delitos que atentan contra la libertad personal,360
2017,AMG,Extorsión,282
2017,AMG,Allanamiento de morada,273
2017,AMG,Corrupción de menores,150
2017,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,130
2017,AMG,Acoso sexual,113
2017,AMG,Hostigamiento sexual,99
2017,AMG,Falsedad,98
2017,AMG,Contra el medio ambiente,21
2017,AMG,Aborto,16
2017,AMG,Feminicidio,14
2017,AMG,Secuestro,3
2017,AMG,Trata de personas,1
2017,AMG,Electorales,0
2017,AMG,Evasión de presos,0
2017,AMG,Incesto,0
2017,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2017,AMG,Otros delitos contra el patrimonio,0
2017,AMG,Otros delitos contra la sociedad,0
2017,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2017,AMG,Rapto,0
2017,AMG,Tráfico de menores,0
2017,AMG,Violación equiparada,0
2017,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2017,Interior,Robo,11404
2017,Interior,Lesiones,4120
2017,Interior,Daño a la propiedad,3524
2017,Interior,Amenazas,1923
2017,Interior,Violencia familiar,1919
2017,Interior,Otros delitos del Fuero Común,1674
2017,Interior,Fraude,1574
2017,Interior,Falsificación,837
2017,Interior,Homicidio,813
2017,Interior,Despojo,735
2017,Interior,Abuso sexual,673
2017,Interior,Otros delitos contra la familia,625
2017,Interior,Narcomenudeo,488
2017,Interior,Abuso de confianza,483
2017,Interior,Delitos cometidos por servidores públicos,299
2017,Interior,Extorsión,239
2017,Interior,Allanamiento de morada,195
2017,Interior,Otros delitos que atentan contra la libertad personal,153
2017,Interior,Violación simple,78
2017,Interior,Falsedad,60
2017,Interior,Acoso sexual,44
2017,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,42
2017,Interior,Corrupción de menores,31
2017,Interior,Feminicidio,13
2017,Interior,Aborto,12
2017,Interior,Contra el medio ambiente,10
2017,Interior,Secuestro,10
2017,Interior,Hostigamiento sexual,9
2017,Interior,Electorales,0
2017,Interior,Evasión de presos,0
2017,Interior,Incesto,0
2017,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2017,Interior,Otros delitos contra el patrimonio,0
2017,Interior,Otros delitos contra la sociedad,0
2017,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2017,Interior,Rapto,0
2017,Interior,Trata de personas,0
2017,Interior,Tráfico de menores,0
2017,Interior,Violación equiparada,0
2017,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2018,AMG,Robo,72207
2018,AMG,Otros delitos del Fuero Común,8772
2018,AMG,Lesiones,8192
2018,AMG,Amenazas,7027
2018,AMG,Violencia familiar,6518
2018,AMG,Daño a la propiedad,5654
2018,AMG,Fraude,5335
2018,AMG,Narcomenudeo,1901
2018,AMG,Homicidio,1880
2018,AMG,Abuso de confianza,1511
2018,AMG,Abuso sexual,1364
2018,AMG,Despojo,1202
2018,AMG,Otros delitos contra la familia,868
2018,AMG,Falsificación,846
2018,AMG,Extorsión,439
2018,AMG,Delitos cometidos por servidores públicos,420
2018,AMG,Otros delitos que atentan contra la libertad personal,393
2018,AMG,Violación simple,263
2018,AMG,Acoso sexual,208
2018,AMG,Allanamiento de morada,202
2018,AMG,Falsedad,137
2018,AMG,Corrupción de menores,103
2018,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,92
2018,AMG,Contra el medio ambiente,74
2018,AMG,Electorales,46
2018,AMG,Hostigamiento sexual,34
2018,AMG,Feminicidio,22
2018,AMG,Aborto,14
2018,AMG,Secuestro,10
2018,AMG,Evasión de presos,8
2018,AMG,Tráfico de menores,3
2018,AMG,Violación equiparada,2
2018,AMG,Incesto,1
2018,AMG,Trata de personas,1
2018,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2018,AMG,Otros delitos contra el patrimonio,0
2018,AMG,Otros delitos contra la sociedad,0
2018,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2018,AMG,Rapto,0
2018,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2018,Interior,Robo,10951
2018,Interior,Lesiones,4016
2018,Interior,Daño a la propiedad,3423
2018,Interior,Amenazas,2285
2018,Interior,Violencia familiar,2231
2018,Interior,Fraude,1634
2018,Interior,Otros delitos del Fuero Común,1631
2018,Interior,Homicidio,873
2018,Interior,Falsificación,821
2018,Interior,Despojo,754
2018,Interior,Abuso sexual,663
2018,Interior,Otros delitos contra la familia,520
2018,Interior,Abuso de confianza,459
2018,Interior,Narcomenudeo,415
2018,Interior,Extorsión,316
2018,Interior,Allanamiento de morada,224
2018,Interior,Delitos cometidos por servidores públicos,185
2018,Interior,Otros delitos que atentan contra la libertad personal,158
2018,Interior,Violación simple,109
2018,Interior,Acoso sexual,59
2018,Interior,Falsedad,53
2018,Interior,Electorales,50
2018,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,48
2018,Interior,Corrupción de menores,42
2018,Interior,Contra el medio ambiente,36
2018,Interior,Hostigamiento sexual,28
2018,Interior,Feminicidio,12
2018,Interior,Secuestro,6
2018,Interior,Aborto,3
2018,Interior,Evasión de presos,3
2018,Interior,Tráfico de menores,1
2018,Interior,Incesto,0
2018,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2018,Interior,Otros delitos contra el patrimonio,0
2018,Interior,Otros delitos contra la sociedad,0
2018,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2018,Interior,Rapto,0
2018,Interior,Trata de personas,0
2018,Interior,Violación equiparada,0
2018,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2019,AMG,Robo,67181
2019,AMG,Otros delitos del Fuero Común,9424
2019,AMG,Amenazas,8181
2019,AMG,Lesiones,7902
2019,AMG,Violencia familiar,7676
2019,AMG,Fraude,5391
2019,AMG,Daño a la propiedad,5130
2019,AMG,Homicidio,1808
2019,AMG,Abuso de confianza,1711
2019,AMG,Abuso sexual,1513
2019,AMG,Narcomenudeo,1319
2019,AMG,Despojo,1298
2019,AMG,Falsificación,956
2019,AMG,Otros delitos contra la familia,797
2019,AMG,Otros delitos que atentan contra la libertad personal,548
2019,AMG,Extorsión,417
2019,AMG,Violación simple,332
2019,AMG,Acoso sexual,223
2019,AMG,Delitos cometidos por servidores públicos,173
2019,AMG,Allanamiento de morada,170
2019,AMG,Falsedad,147
2019,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,131
2019,AMG,Corrupción de menores,94
2019,AMG,Hostigamiento sexual,53
2019,AMG,Feminicidio,50
2019,AMG,Contra el medio ambiente,41
2019,AMG,Secuestro,15
2019,AMG,Electorales,8
2019,AMG,Trata de personas,4
2019,AMG,Aborto,2
2019,AMG,Evasión de presos,0
2019,AMG,Incesto,0
2019,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2019,AMG,Otros delitos contra el patrimonio,0
2019,AMG,Otros delitos contra la sociedad,0
2019,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2019,AMG,Rapto,0
2019,AMG,Tráfico de menores,0
2019,AMG,Violación equiparada,0
2019,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2019,Interior,Robo,8702
2019,Interior,Lesiones,3768
2019,Interior,Daño a la propiedad,3385
2019,Interior,Violencia familiar,3147
2019,Interior,Amenazas,2621
2019,Interior,Fraude,1685
2019,Interior,Otros delitos del Fuero Común,1547
2019,Interior,Homicidio,929
2019,Interior,Despojo,753
2019,Interior,Falsificación,738
2019,Interior,Abuso sexual,715
2019,Interior,Otros delitos contra la familia,567
2019,Interior,Abuso de confianza,543
2019,Interior,Narcomenudeo,395
2019,Interior,Extorsión,295
2019,Interior,Allanamiento de morada,166
2019,Interior,Delitos cometidos por servidores públicos,138
2019,Interior,Violación simple,100
2019,Interior,Otros delitos que atentan contra la libertad personal,97
2019,Interior,Falsedad,63
2019,Interior,Acoso sexual,56
2019,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,53
2019,Interior,Corrupción de menores,40
2019,Interior,Contra el medio ambiente,28
2019,Interior,Hostigamiento sexual,19
2019,Interior,Feminicidio,15
2019,Interior,Electorales,8
2019,Interior,Secuestro,5
2019,Interior,Aborto,3
2019,Interior,Trata de personas,2
2019,Interior,Evasión de presos,0
2019,Interior,Incesto,0
2019,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2019,Interior,Otros delitos contra el patrimonio,0
2019,Interior,Otros delitos contra la sociedad,0
2019,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2019,Interior,Rapto,0
2019,Interior,Tráfico de menores,0
2019,Interior,Violación equiparada,0
2019,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2020,AMG,Robo,46282
2020,AMG,Otros delitos del Fuero Común,9393
2020,AMG,Violencia familiar,8565
2020,AMG,Amenazas,7435
2020,AMG,Lesiones,6206
2020,AMG,Fraude,5500
2020,AMG,Daño a la propiedad,4015
2020,AMG,Homicidio,1740
2020,AMG,Abuso sexual,1402
2020,AMG,Abuso de confianza,1375
2020,AMG,Despojo,1090
2020,AMG,Narcomenudeo,758
2020,AMG,Otros delitos que atentan contra la libertad personal,734
2020,AMG,Otros delitos contra la familia,554
2020,AMG,Falsificación,500
2020,AMG,Extorsión,433
2020,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,283
2020,AMG,Violación simple,275
2020,AMG,Delitos cometidos por servidores públicos,209
2020,AMG,Acoso sexual,205
2020,AMG,Allanamiento de morada,134
2020,AMG,Corrupción de menores,84
2020,AMG,Falsedad,65
2020,AMG,Contra el medio ambiente,61
2020,AMG,Feminicidio,52
2020,AMG,Hostigamiento sexual,43
2020,AMG,Otros delitos contra la sociedad,12
2020,AMG,Secuestro,11
2020,AMG,Trata de personas,10
2020,AMG,Electorales,7
2020,AMG,Aborto,6
2020,AMG,Evasión de presos,2
2020,AMG,Tráfico de menores,1
2020,AMG,Incesto,0
2020,AMG,Incumplimiento de obligaciones de asistencia familiar,0
2020,AMG,Otros delitos contra el patrimonio,0
2020,AMG,Otros delitos que atentan contra la vida y la integridad corporal,0
2020,AMG,Rapto,0
2020,AMG,Violación equiparada,0
2020,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2020,Interior,Robo,7142
2020,Interior,Lesiones,3814
