Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cambio_absoluto,cambio_porcentual,CAGR_aprox
Tlajomulco de Zúñiga,6806,8451,13459,13496,11662,9148,10537,12363,12622,11698,11285,4479,65.80957978254482,5.186731866472938
San Pedro Tlaquepaque,7989,11381,14481,14719,14597,11913,12261,12482,13532,12693,11597,3608,45.16209788459131,3.7971247905929317
Zapopan,16028,24230,30268,28890,28833,22848,22938,22049,23618,22023,19353,3325,20.744946343898178,1.9029827691359413
Guadalajara,25656,41293,53153,52658,51075,39698,39337,37780,36011,34712,28863,3207,12.5,1.1847940917808941
El Salto,1685,2379,3650,3647,3372,2705,3129,3420,3529,3359,4400,2715,161.12759643916914,10.074133939720342
Tonalá,5195,8084,10723,10821,11640,9379,8773,8444,9269,8444,7617,2422,46.62175168431184,3.901027011572089
Tala,950,876,1021,893,1017,1174,1041,921,776,1064,1263,313,32.94736842105263,2.8887697903074327
Ixtlahuacán de los Membrillos,342,660,669,562,577,556,474,750,878,722,644,302,88.30409356725146,6.53344622338472
Juanacatlán,126,181,238,218,202,222,289,315,392,364,404,278,220.63492063492066,12.35724506241933
Jocotepec,249,454,486,522,406,344,560,545,414,472,523,274,110.04016064257027,7.703603549971927
Zapotlanejo,579,838,887,738,737,973,759,1054,1207,955,792,213,36.787564766839374,3.182171094689057
Autlán de Navarro,766,1221,1230,1343,1110,943,867,913,997,878,957,191,24.934725848563968,2.2511772352004744
Zapotiltic,279,292,336,359,406,340,322,362,470,437,455,176,63.08243727598566,5.012432688068058
Poncitlán,297,333,326,349,320,369,389,380,491,475,469,172,57.91245791245792,4.674679385911107
El Grullo,150,254,278,227,245,253,279,336,344,340,313,163,108.66666666666667,7.632965931490743
La Barca,391,427,464,544,589,370,384,431,502,475,549,158,40.40920716112532,3.452159018748713
Colotlán,110,205,246,289,281,134,202,221,243,217,243,133,120.9090909090909,8.248368344925172
Chapala,676,809,849,970,847,776,929,938,879,878,809,133,19.674556213017752,1.8122845372218865
Ameca,784,819,1020,903,693,789,766,826,879,825,905,121,15.433673469387754,1.4456085326457035
El Arenal,187,258,274,332,281,357,305,321,295,257,305,118,63.101604278074866,5.013666828976238
Arandas,564,634,731,900,665,714,823,794,671,695,671,107,18.97163120567376,1.7523250357109221
Tizapán el Alto,67,132,120,101,172,129,178,213,135,158,173,106,158.2089552238806,9.950480097503544
San Martín Hidalgo,158,185,272,204,165,194,181,169,265,246,263,105,66.45569620253164,5.2276486777519615
Teocaltiche,138,125,171,171,172,187,187,141,191,105,241,103,74.63768115942028,5.733789016312674
Ahualulco de Mercado,215,298,283,217,272,236,235,250,249,285,313,98,45.58139534883721,3.8270674579619968
Ayotlán,90,154,139,137,150,159,123,153,180,154,182,92,102.22222222222221,7.295840920807217
Gómez Farías,107,109,120,110,97,124,106,138,199,192,192,85,79.43925233644859,6.020963109670219
Jamay,117,114,146,169,232,174,201,215,224,223,201,84,71.7948717948718,5.560398139196621
Mazamitla,110,138,155,165,138,111,217,248,195,132,184,74,67.27272727272727,5.279184882519283
Acatlán de Juárez,213,481,528,615,399,469,375,321,324,325,285,72,33.80281690140845,2.954782547316981
Atotonilco el Alto,348,555,362,480,526,452,524,475,465,428,420,72,20.689655172413794,1.8983154958224446
Tecolotlán,121,168,182,164,191,131,157,226,191,217,192,71,58.67768595041323,4.725293418716747
Etzatlán,95,120,127,117,130,169,177,132,172,136,162,67,70.52631578947368,5.48219072275502
Zapotlán del Rey,72,81,59,80,74,77,52,50,124,148,134,62,86.11111111111111,6.4087227288445625
Villa Corona,83,151,231,194,181,234,169,215,223,206,140,57,68.67469879518072,5.367092023897202
Tototlán,136,182,142,186,160,127,96,135,201,179,188,52,38.23529411764706,3.2908601695392115
Tequila,338,420,424,489,566,580,494,429,404,411,390,52,15.384615384615385,1.4412963773229759
Tapalpa,71,89,96,119,108,105,101,119,127,122,115,44,61.97183098591549,4.940698153631162
Magdalena,157,150,237,153,162,189,183,185,204,172,199,42,26.751592356687897,2.3989120385786045
Amatitán,78,94,147,136,144,141,177,168,164,120,118,40,51.28205128205128,4.226640722742991
San Gabriel,55,56,84,78,92,82,78,74,75,83,93,38,69.0909090909091,5.393062871225562
San Marcos,17,34,37,21,26,23,14,25,29,15,55,38,223.52941176470588,12.458264445389444
San Juanito de Escobedo,45,80,61,48,49,80,70,62,77,68,81,36,80.0,6.05404816140187
Mezquitic,49,45,36,49,49,41,62,51,54,71,85,36,73.46938775510205,5.662841245098327
Cihuatlán,354,406,527,452,410,386,470,345,453,402,390,36,10.16949152542373,0.9732033817033692
Villa Hidalgo,81,39,53,70,61,75,62,38,62,72,112,31,38.2716049382716,3.2935730314483047
Cabo Corrientes,67,68,78,105,47,49,75,97,102,82,96,29,43.28358208955223,3.662014178379147
Cuquío,60,95,119,93,78,102,124,122,107,111,87,27,45.0,3.7855282682871527
Atengo,16,34,26,15,31,27,19,17,15,21,43,27,168.75,10.391299883374504
Zacoalco de Torres,239,344,291,266,289,352,304,320,241,206,265,26,10.87866108786611,1.0380131034339435
Huejúcar,16,30,25,51,47,15,30,33,40,21,42,26,162.5,10.131849033861794
Tonila,2,40,34,39,22,16,27,30,27,36,27,25,1250.0,29.727896698023248
Atenguillo,26,28,31,41,26,30,27,55,50,52,49,23,88.46153846153845,6.5423503524634885
Teuchitlán,58,88,80,56,44,49,65,68,40,54,81,23,39.6551724137931,3.396467743280329
Puerto Vallarta,5470,5550,6149,6674,5396,4444,5082,5037,5460,5103,5492,22,0.40219378427787933,0.04014677137835765
Mixtlán,16,25,30,33,28,24,20,24,22,22,36,20,125.0,8.447177119769854
Juchitlán,17,32,26,36,51,30,33,37,40,49,36,19,111.76470588235294,7.791709092396792
Unión de Tula,125,127,135,126,127,120,113,159,109,123,144,19,15.2,1.4250540720096572
Santa María de los Ángeles,8,19,12,20,27,12,22,15,20,29,26,18,225.0,12.5092775800282
Tuxcueca,25,45,56,49,45,48,103,67,45,44,41,16,64.0,5.071367544439487
Guachinango,19,25,31,39,36,49,39,27,54,37,31,12,63.1578947368421,5.017290551533926
Hostotipaquillo,36,40,53,51,33,50,64,51,61,51,48,12,33.33333333333333,2.9186008964760646
Tenamaxtlán,35,30,37,40,36,22,41,43,48,42,46,11,31.428571428571427,2.7706205118285476
Santa María del Oro,2,8,4,4,1,2,2,4,5,2,10,8,400.0,17.461894308801895
Chimaltitán,9,7,14,14,8,2,2,7,11,8,17,8,88.88888888888889,6.5664849986184715
Techaluta de Montenegro,12,45,38,29,32,36,23,41,38,36,20,8,66.66666666666666,5.240977914892553
Tonaya,18,25,20,19,29,20,21,17,19,19,25,7,38.88888888888889,3.3395938566434413
Chiquilistlán,9,26,25,19,18,18,19,20,22,18,16,7,77.77777777777779,5.922384104881218
Tuxcacuesco,8,16,25,34,21,22,17,8,22,19,15,7,87.5,6.48786680336062
Valle de Juárez,30,22,37,49,39,46,49,61,44,38,35,5,16.666666666666664,1.5534493002352434
Amacueca,27,42,49,31,37,42,36,38,32,27,32,5,18.51851851851852,1.713505295195339
Degollado,100,100,98,106,83,73,77,86,83,81,104,4,4.0,0.3929772702200518
Ejutla,8,7,9,6,9,16,11,2,16,15,12,4,50.0,4.137974399241062
La Manzanilla de la Paz,17,12,11,12,9,16,33,21,24,21,20,3,17.647058823529413,1.6384673297434205
Tecalitlán,44,38,29,75,37,62,40,36,54,44,47,3,6.8181818181818175,0.661759695023223
Ojuelos de Jalisco,200,160,261,200,237,242,284,229,301,190,202,2,1.0,0.09955282949736244
San Cristóbal de la Barranca,12,17,28,20,7,8,16,26,37,8,14,2,16.666666666666664,1.5534493002352434
Jilotlán de los Dolores,5,12,11,14,9,16,8,6,9,5,7,2,40.0,3.4219694129380196
Bolaños,22,23,22,21,21,16,12,22,37,26,24,2,9.090909090909092,0.8739102630401341
Tolimán,31,21,35,33,20,21,32,31,56,50,33,2,6.451612903225806,0.6271620466936412
Atoyac,39,65,46,44,34,39,42,49,42,28,39,0,0.0,0.0
Valle de Guadalupe,61,59,71,63,76,74,53,46,89,50,61,0,0.0,0.0
Villa Guerrero,29,36,44,66,40,19,28,26,20,32,28,-1,-3.4482758620689653,-0.3502982173095637
Concepción de Buenos Aires,25,26,24,24,30,37,33,16,34,22,24,-1,-4.0,-0.4073878602149361
Mascota,150,91,116,107,150,177,182,144,123,169,148,-2,-1.3333333333333335,-0.13414015487922537
La Huerta,182,166,183,159,185,191,129,164,140,165,179,-3,-1.6483516483516485,-0.16607076200841897
Sayula,345,320,329,320,269,310,395,338,328,361,342,-3,-0.8695652173913043,-0.08729867220522713
Unión de San Antonio,77,90,82,74,86,65,55,85,73,94,74,-3,-3.896103896103896,-0.396614684623664
Mexticacán,14,23,11,17,28,19,20,12,17,12,10,-4,-28.57142857142857,-3.3087451654251088
Cañadas de Obregón,21,18,22,21,17,14,20,17,11,9,15,-6,-28.57142857142857,-3.3087451654251088
Cuautla,13,12,8,14,14,14,14,26,10,7,7,-6,-46.15384615384615,-6.002680571297003
Totatiche,22,22,25,26,35,17,16,21,6,11,16,-6,-27.27272727272727,-3.1343649183027567
San Sebastián del Oeste,34,24,28,12,17,26,23,22,32,20,27,-7,-20.588235294117645,-2.278869007839468
El Limón,31,41,45,48,29,36,38,40,45,38,23,-8,-25.806451612903224,-2.9408208178640094
Atemajac de Brizuela,30,39,18,22,25,24,36,14,19,26,21,-9,-30.0,-3.5038904880182353
San Ignacio Cerro Gordo,89,85,113,100,128,137,152,118,114,97,79,-10,-11.235955056179774,-1.184810357115318
San Martín de Bolaños,19,19,20,23,13,8,9,10,2,5,6,-13,-68.42105263157895,-10.887266654112526
Zapotitlán de Vadillo,32,28,30,20,22,13,16,21,16,16,18,-14,-43.75,-5.591248870509801
Teocuitatlán de Corona,48,29,47,33,86,77,65,64,57,54,34,-14,-29.166666666666668,-3.3896249757240926
Talpa de Allende,113,148,161,149,139,106,102,124,115,93,99,-14,-12.389380530973451,-1.3139707175581772
Ixtlahuacán del Río,163,145,161,140,138,175,199,205,151,168,148,-15,-9.202453987730062,-0.9607344434963805
Cuautitlán de García Barragán,98,99,131,105,98,141,102,107,85,95,80,-18,-18.367346938775512,-2.008954544924335
Pihuamo,43,51,48,43,42,36,34,26,36,40,24,-19,-44.18604651162791,-5.664690506172065
San Diego de Alejandría,42,42,38,19,32,26,20,26,19,27,19,-23,-54.761904761904766,-7.625855129149928
Huejuquilla el Alto,73,78,61,45,73,55,38,55,52,36,49,-24,-32.87671232876712,-3.907980225093999
Tuxpan,217,214,229,233,226,158,162,157,198,189,187,-30,-13.82488479262673,-1.4768730174792188
Acatic,142,103,177,227,279,205,215,160,142,115,112,-30,-21.12676056338028,-2.345341003963519
Casimiro Castillo,168,178,107,100,88,124,96,104,105,142,136,-32,-19.047619047619047,-2.090921597487305
Yahualica de González Gallo,164,155,164,145,155,149,120,132,131,170,132,-32,-19.51219512195122,-2.1472560887937586
Quitupan,43,39,26,34,21,16,35,14,16,13,9,-34,-79.06976744186046,-14.478087286561037
Cocula,361,355,386,267,392,348,339,358,379,328,322,-39,-10.80332409972299,-1.1367536976447545
Ayutla,86,59,59,83,69,65,61,64,69,56,43,-43,-50.0,-6.696700846319259
San Julián,94,98,50,51,61,65,62,79,66,54,50,-44,-46.808510638297875,-6.117593137444121
Villa Purificación,112,102,121,87,102,119,31,53,51,56,61,-51,-45.535714285714285,-5.895328883848039
Tomatlán,278,207,235,203,132,175,259,259,204,180,203,-75,-26.978417266187048,-3.0952368965325716
Jalostotitlán,295,282,271,315,294,287,388,315,358,272,196,-99,-33.559322033898304,-4.00615102123878
Jesús María,200,161,159,201,156,123,132,112,123,119,97,-103,-51.5,-6.980462923326569
Encarnación de Díaz,445,327,397,368,331,433,463,390,474,464,331,-114,-25.617977528089884,-2.916192986474475
Tamazula de Gordiano,419,276,251,222,239,165,212,215,267,242,248,-171,-40.81145584725537,-5.1092747883803575
San Miguel el Alto,367,301,243,219,311,280,200,213,205,159,161,-206,-56.13079019073569,-7.909256098782047
Ocotlán,1101,1130,890,1039,1174,935,1053,860,1008,828,879,-222,-20.16348773841962,-2.226726550189584
San Juan de los Lagos,689,508,640,472,518,775,656,700,693,629,385,-304,-44.12191582002903,-5.6538569019012215
Zapotlán el Grande,1861,1663,1587,1561,1424,1286,1269,1340,1452,1497,1517,-344,-18.4846856528748,-2.0230488894706244
Lagos de Moreno,2273,2551,2372,1947,2385,2168,2305,2321,2122,2027,1926,-347,-15.266168059832822,-1.6429069385826556
Tepatitlán de Morelos,2202,2270,1832,1765,1854,1558,1496,1341,1343,1252,1316,-886,-40.236148955495004,-5.017442882923895
